2026-04-11 02:48:15 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9202.97 | return: -7.97% | trades: 52 | total cost: 0.1040
2026-04-11 02:48:15 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:15 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9202.97 | return: -7.97% | trades: 52 | total cost: 0.1040
2026-04-11 02:48:15 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:15 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9202.97 | return: -7.97% | trades: 52 | total cost: 0.1040
2026-04-11 02:48:15 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:15 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9611.07 | return: -3.89% | trades: 68 | total cost: 0.1360
2026-04-11 02:48:15 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:15 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9611.07 | return: -3.89% | trades: 68 | total cost: 0.1360
2026-04-11 02:48:15 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:15 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9611.07 | return: -3.89% | trades: 68 | total cost: 0.1360
2026-04-11 02:48:15 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:15 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9611.07 | return: -3.89% | trades: 68 | total cost: 0.1360
2026-04-11 02:48:15 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
